filename,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,genre
Nike Ardilla - Cover Rock Bintang Kehidupan.mp3,-7.7695003,76.500465,-3.163943,41.504498,1.4955366,14.691373,1.7897549,9.457558,6.5596876,5.33142,0.9785621,8.116711,0.6576893,rock
Nike_Ardilla_-_Bintang_Kehidupan.mp3,-6.5284305,72.95159,-1.542488,39.570187,2.140548,13.331753,1.3810853,8.496351,6.2942486,5.2696686,0.69651467,8.022151,0.4992058,rock
NOAH - Yang Terdalam (Pov Drum Cover).mp3,-12.975909,73.99371,-16.975683,35.08768,4.836996,17.209148,3.5204194,5.80835,7.1046953,11.144853,3.5891888,9.203642,-2.0370584,rock
OUR STORY - Tersimpan (mp3cut.net).mp3,-155.72713,180.98773,-49.2287,41.590084,17.901188,0.6663221,23.91008,0.8437345,14.20639,8.1276455,1.4762928,10.225116,-2.968784,rock
Pujaan_Hati_Pop_Goes_Punk_Vol.1_V2.mp3,-24.137882,86.68564,-13.664757,19.92314,-9.923532,9.076036,1.0996468,4.3155365,7.080466,5.8846006,-0.5559124,1.3548892,-2.093589,rock
Radja - Rif.mp3,1.6337063,68.66212,-29.166838,34.804077,13.029181,15.816073,-1.0358497,6.6377287,-3.579002,4.8008804,0.30254874,3.6098573,-5.683988,rock
Rock Cover (Drum View) Batas Senja Nanti Kita Seperti Ini.mp3,-4.079096,77.85265,-4.085144,46.10145,1.7660662,9.189383,-3.951825,4.821359,1.3735904,2.4705207,0.4304477,7.9616218,1.1836954,rock
Rock Cover (Drum View) FIVE MINUTES - Selamat Tinggal.mp3,-73.93946,87.82728,13.874474,36.483814,-7.29186,15.145296,3.00301,4.2118816,-4.590057,8.755979,0.48006773,0.5194341,-5.0880175,rock
Rock Cover - Dumes Guyo Waton.mp3,-50.048218,72.77408,-2.4129715,34.87725,-0.00028061055,9.50488,2.8499568,10.9534,8.451051,8.2124,-0.32993916,8.421779,0.899441,rock
Rock Cover Kemarin by Seventeen.mp3,-13.261148,58.846786,-6.813306,28.540731,6.181968,18.491068,0.88331485,3.3624287,-1.5075877,9.362379,2.0438364,6.5549436,-2.1618958,rock
Rock Cover Last Child - Seluruh Nafas Ini.mp3,-116.13401,194.76773,-78.41766,51.431442,10.271182,-15.74567,22.238789,-10.881898,10.74982,4.199428,-12.705761,12.5219,2.9974015,rock
Rock Cover Runtuh (Drum View).mp3,-6.484969,97.17942,-4.444481,36.442333,2.2873461,3.680495,-5.9604445,10.816283,6.587815,5.760964,-2.32747,10.404602,2.2609837,rock
Rock Cover SHINE OF BLACK - Jang Ganggu.mp3,-136.9318,182.16191,-64.61411,41.702145,12.8490925,-10.560228,24.141117,3.0752218,11.00584,2.5807881,0.67335963,14.454482,-0.32977045,rock
Rock Drum View Tipe X  Mawar Hitam.mp3,15.058684,77.8293,-3.5589275,26.362244,4.9240274,4.8388863,5.998859,9.448116,-4.2834945,11.1607485,-1.9841732,5.851718,-2.0401447,rock
RUNTUH - Feby Putri.mp3,-16.790102,94.509285,-10.409271,38.7057,4.3373356,3.1103482,-4.143087,11.64541,9.799213,6.424351,-1.2807394,9.78899,1.9934407,rock
Sanca_Records_Melayang_Judika_Rock_Cover.mp3,23.676142,64.43859,-10.834878,28.696722,2.4282107,12.394758,3.7974484,10.56852,-1.454958,8.091652,0.4055731,6.910334,-3.6670818,rock
SEVENTEEN - KEMARIN.mp3,-19.451359,61.59407,-5.6640363,32.857246,5.952702,14.761569,-0.044078108,3.3378992,0.5640088,8.383763,-2.2498882,1.6592549,-3.7612453,rock
SHINE OF BLACK - Jang Ganggu (mp3cut.net).mp3,-143.7408,181.93929,-63.544083,39.86384,13.4786005,-10.867593,22.5985,3.2064488,9.9123,3.259307,0.9911276,12.071469,0.4357136,rock
Slank___Terlalu_Manis.mp3,-7.3079586,52.922577,4.822767,20.530495,3.649489,11.183445,-2.9683707,8.720171,-2.639088,0.54620534,-3.7709992,4.0435514,-6.7945833,rock
SUPERIOTS feat Manda Rose - Kekasih Tolol (mp3cut.net).mp3,-152.174,192.7322,-52.39178,48.04794,9.067997,0.45044503,14.951962,-10.294356,16.691788,-0.5610665,-0.85622156,9.700378,-5.8376856,rock
Terapi Energi - St.Loco.mp3,25.016071,71.02207,-18.152395,43.032394,7.2603264,9.852438,1.673192,9.979681,5.073227,2.0075562,-1.9922502,1.224073,-0.60471064,rock
Tersimpan Cover.mp3,-149.4939,170.9723,-57.996445,47.319416,9.204528,0.5003941,27.86525,-8.132583,14.998558,11.023738,0.1676218,13.004517,-2.9668639,rock
TINKY WINKY - Kenangan Sebuah Mimpi (mp3cut.net).mp3,-97.77902,189.9901,-66.5626,62.22124,-0.54014534,-6.970592,23.674597,-13.429551,15.7531805,2.0689666,-2.519896,7.9833484,-6.883111,rock
Tipe_X___Mawar_Hitam.mp3,35.70231,73.156395,-3.353772,25.35868,2.243625,6.470874,6.881653,6.847005,-2.966224,7.6916103,-3.5550356,3.561788,-2.0218918,rock
YANGSEKU_-_Pujaan_Hati_Pop_Goes_Punk_Vol.1_V1.mp3,-27.927889,89.21164,-14.92707,20.269861,-10.520616,9.124514,0.7075094,3.3356373,6.881443,6.4965487,-1.4876196,0.3154094,-2.6475434,rock
